urn,counts,tag
URN:NBN:no-nb_digibok_2011111605037,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2007082703001,"Counter({'z': 1, 'x': 1})",z-1#x-1
URN:NBN:no-nb_digibok_2009100812001,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2013110424054,Counter({'x': 1}),x-1
,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2009061912006,Counter({'x': 7}),x-7
,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2014071606009,"Counter({'z': 1, 'x': 1})",z-1#x-1
URN:NBN:no-nb_digibok_2008062312002,Counter({'w': 2}),w-2
URN:NBN:no-nb_digibok_2007091703001,"Counter({'z': 2, 'x': 2})",z-2#x-2
URN:NBN:no-nb_digibok_2009011512001,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2009011512001,Counter({'x': 2}),x-2
URN:NBN:no-nb_digibok_2009011512001,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2008061112002,Counter({'x': 2}),x-2
URN:NBN:no-nb_digitidsskrift_2014092382073_001,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2017020148100,"Counter({'x': 2, 'w': 1, 'x/y': 1})",x-2#w-1#x/y-1
URN:NBN:no-nb_digibok_2015042027001,Counter({'x': 3}),x-3
URN:NBN:no-nb_digibok_2020021248500,Counter({'x': 2}),x-2
URN:NBN:no-nb_digibok_2016112129003,"Counter({'x/y': 1, 'x': 1})",x/y-1#x-1
URN:NBN:no-nb_digibok_2019110448028,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2008061112002,Counter({'x': 2}),x-2
URN:NBN:no-nb_digibok_2008061112002,"Counter({'x': 1, 'w': 1})",x-1#w-1
URN:NBN:no-nb_digibok_2008061112002,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2008061112002,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2008061112002,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2008061112002,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2008061112002,"Counter({'w': 1, 'x': 1})",w-1#x-1
URN:NBN:no-nb_digibok_2008061112002,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2008061112002,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2008061112002,Counter({'w': 1}),w-1
URN:NBN:no-nb_digibok_2008070202001,Counter({'x': 2}),x-2
URN:NBN:no-nb_digibok_2006082800104,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2017020148100,"Counter({'x': 2, 'x/y': 1})",x-2#x/y-1
URN:NBN:no-nb_digibok_2019121148002,"Counter({'y': 2, 'w': 1, 'x': 1, 'x/y': 1})",y-2#w-1#x-1#x/y-1
URN:NBN:no-nb_digibok_2017020148100,Counter({'w': 1}),w-1
URN:NBN:no-nb_digibok_2019121148002,"Counter({'x': 5, 'y': 1, 'x/y': 1})",x-5#y-1#x/y-1
URN:NBN:no-nb_digibok_2010021603005,"Counter({'z': 1, 'x': 1})",z-1#x-1
URN:NBN:no-nb_digibok_2008061012003,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2008103012001,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2008103012001,"Counter({'x': 5, 'y': 1})",x-5#y-1
URN:NBN:no-nb_digibok_2009110512007,Counter({'x': 2}),x-2
URN:NBN:no-nb_digibok_2007110600049,"Counter({'x': 2, 'w': 1})",x-2#w-1
URN:NBN:no-nb_digibok_2008062012003,"Counter({'x': 2, 'w': 1})",x-2#w-1
URN:NBN:no-nb_digibok_2008103012001,"Counter({'x': 3, 'x/y': 1})",x-3#x/y-1
URN:NBN:no-nb_digibok_2012062813003,Counter({'x': 2}),x-2
URN:NBN:no-nb_digibok_2015061929001,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2008103012001,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2008103012001,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2008103012001,"Counter({'x': 4, 'x/y': 1})",x-4#x/y-1
URN:NBN:no-nb_digibok_2008103012001,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2012020208027,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2012020208027,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2008011112004,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2012062813003,"Counter({'x': 2, 'w/y': 1, 'x/y': 1})",x-2#w/y-1#x/y-1
URN:NBN:no-nb_digibok_2012062813003,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2012062813003,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2012062813003,Counter({'x': 4}),x-4
URN:NBN:no-nb_digibok_2012062813003,"Counter({'x': 5, 'y': 1, 'w/y': 1})",x-5#y-1#w/y-1
URN:NBN:no-nb_digibok_2010100608041,Counter({'x': 3}),x-3
URN:NBN:no-nb_digibok_2010100608041,"Counter({'x': 4, 'w': 2})",x-4#w-2
URN:NBN:no-nb_digibok_2010100608041,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2010100608041,"Counter({'w': 1, 'x': 1})",w-1#x-1
URN:NBN:no-nb_digibok_2010100608041,Counter({'x': 2}),x-2
URN:NBN:no-nb_digibok_2010100608041,"Counter({'x': 2, 'z': 1})",x-2#z-1
URN:NBN:no-nb_digibok_2010100608041,Counter({'w': 1}),w-1
URN:NBN:no-nb_digibok_2010100608041,Counter({'x': 2}),x-2
URN:NBN:no-nb_digibok_2010100608041,Counter({'w': 1}),w-1
URN:NBN:no-nb_digibok_2010100608041,"Counter({'w': 3, 'x': 1})",w-3#x-1
URN:NBN:no-nb_digibok_2010100608041,Counter({'x': 1}),x-1
URN:NBN:no-nb_digibok_2010100608041,Counter({'x': 1}),x-1
